param_SVM__n_iter,test acc,train acc
1,0.4379468824566864,0.4036238979892976
6,0.45363938167859735,0.4703775674532019
11,0.4561832140263513,0.47955184848037485
16,0.45119410727253867,0.4723452936737193
21,0.3774738043365495,0.35461388182617354
26,0.35273679842307293,0.38743229128235757
31,0.3547619047619048,0.3559762259472239
36,0.43375142649652454,0.45374137971118217
41,0.34535740222014727,0.32445924463570286
46,0.38847805788982254,0.41844093550700323
51,0.44152816682228446,0.4157243214536438
56,0.44593526299408653,0.4504219687552017
61,0.4375599128540305,0.41854334207220895
66,0.3577404295051354,0.3652082460715612
71,0.4001307189542484,0.3753605962731038
76,0.45329598506069096,0.457183432769653
81,0.4429090154580351,0.43644128793123244
86,0.40043261749144105,0.4283858509700651
91,0.44579935677974897,0.4488326006575976
96,0.38630563336445684,0.3841988017102861
101,0.42701732544869797,0.46417949429508043
106,0.472836393816786,0.469945985224799
111,0.39877788152297955,0.4188869365797871
116,0.4787581699346405,0.4895541298255635
121,0.44566552546944704,0.4518871745817475
126,0.41518622263720306,0.42413371191538524
131,0.35490714804440293,0.38820470986818245
136,0.33496524535740224,0.3512199644047524
141,0.4468959435626102,0.4503414999519645
146,0.45768544454818966,0.4542972061358956
151,0.4086824359373379,0.3886960520166365
156,0.4404222429712626,0.4729015570331108
161,0.36621952484697584,0.3704489134244703
166,0.4838821454507729,0.45693617325581454
171,0.3543925718435523,0.3559091382685069
176,0.40676003734827265,0.43626299127410495
181,0.43960369332918353,0.42130103708812605
186,0.39351384998443817,0.42983819453202105
191,0.38265172735760966,0.3990891168146501
196,0.38986824359373384,0.40058624618112265
